STATUS,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT
ACTIVE,ACCESS CONTROL,AC-3 (4)(e),DISCRETIONARY ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (5),SECURITY-RELEVANT INFORMATION,NA,NA
[Withdrawn: Incorporated into MP-4 and SC-28].,ACCESS CONTROL,AC-3 (6),PROTECTION OF USER AND SYSTEM INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (7),ROLE-BASED ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (8),REVOCATION OF ACCESS AUTHORIZATIONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (9),CONTROLLED RELEASE,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (9)(a),CONTROLLED RELEASE,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (9)(b),CONTROLLED RELEASE,NA,NA
ACTIVE,ACCESS CONTROL,AC-3 (10),AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4,INFORMATION FLOW ENFORCEMENT,P1,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-4 (1),OBJECT SECURITY ATTRIBUTES,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (2),PROCESSING DOMAINS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (3),DYNAMIC INFORMATION FLOW CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (4),CONTENT CHECK ENCRYPTED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (5),EMBEDDED DATA TYPES,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (6),METADATA,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (7),ONE-WAY FLOW MECHANISMS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (8),SECURITY POLICY FILTERS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (9),HUMAN REVIEWS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (10),ENABLE / DISABLE SECURITY POLICY FILTERS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (11),CONFIGURATION OF SECURITY POLICY FILTERS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (12),DATA TYPE IDENTIFIERS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (13),DECOMPOSITION INTO POLICY-RELEVANT SUBCOMPONENTS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (14),SECURITY POLICY FILTER CONSTRAINTS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (15),DETECTION OF UNSANCTIONED INFORMATION,NA,NA
[Withdrawn: Incorporated into AC-4].,ACCESS CONTROL,AC-4 (16),INFORMATION TRANSFERS ON INTERCONNECTED SYSTEMS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (17),DOMAIN AUTHENTICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (18),SECURITY ATTRIBUTE BINDING,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (19),VALIDATION OF METADATA,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (20),APPROVED SOLUTIONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (21),PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS,NA,NA
ACTIVE,ACCESS CONTROL,AC-4 (22),ACCESS ONLY,NA,NA
ACTIVE,ACCESS CONTROL,AC-5,SEPARATION OF DUTIES,P1,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-5a.,SEPARATION OF DUTIES,NA,NA
ACTIVE,ACCESS CONTROL,AC-5b.,SEPARATION OF DUTIES,NA,NA
ACTIVE,ACCESS CONTROL,AC-5c.,SEPARATION OF DUTIES,NA,NA
ACTIVE,ACCESS CONTROL,AC-6,LEAST PRIVILEGE,P1,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-6 (1),AUTHORIZE ACCESS TO SECURITY FUNCTIONS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-6 (2),NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-6 (3),NETWORK ACCESS TO PRIVILEGED COMMANDS,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-6 (4),SEPARATE PROCESSING DOMAINS,NA,NA
ACTIVE,ACCESS CONTROL,AC-6 (5),PRIVILEGED ACCOUNTS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-6 (6),PRIVILEGED ACCESS BY NON-ORGANIZATIONAL USERS,NA,NA
ACTIVE,ACCESS CONTROL,AC-6 (7),REVIEW OF USER PRIVILEGES,NA,NA
ACTIVE,ACCESS CONTROL,AC-6 (7)(a),REVIEW OF USER PRIVILEGES,NA,NA
ACTIVE,ACCESS CONTROL,AC-6 (7)(b),REVIEW OF USER PRIVILEGES,NA,NA
ACTIVE,ACCESS CONTROL,AC-6 (8),PRIVILEGE LEVELS FOR CODE EXECUTION,NA,NA
ACTIVE,ACCESS CONTROL,AC-6 (9),AUDITING USE OF PRIVILEGED FUNCTIONS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-6 (10),PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-7,UNSUCCESSFUL LOGON ATTEMPTS,P2,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-7a.,UNSUCCESSFUL LOGON ATTEMPTS,NA,NA
ACTIVE,ACCESS CONTROL,AC-7b.,UNSUCCESSFUL LOGON ATTEMPTS,NA,NA
[Withdrawn: Incorporated into AC-7].,ACCESS CONTROL,AC-7 (1),AUTOMATIC ACCOUNT LOCK,NA,NA
ACTIVE,ACCESS CONTROL,AC-7 (2),PURGE / WIPE MOBILE DEVICE,NA,NA
ACTIVE,ACCESS CONTROL,AC-8,SYSTEM USE NOTIFICATION,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-8a.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8a.1.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8a.2.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8a.3.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8a.4.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8b.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8c.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8c.1.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8c.2.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-8c.3.,SYSTEM USE NOTIFICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-9,PREVIOUS LOGON (ACCESS) NOTIFICATION,P0,NA
ACTIVE,ACCESS CONTROL,AC-9 (1),UNSUCCESSFUL LOGONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-9 (2),SUCCESSFUL / UNSUCCESSFUL LOGONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-9 (3),NOTIFICATION OF ACCOUNT CHANGES,NA,NA
ACTIVE,ACCESS CONTROL,AC-9 (4),ADDITIONAL LOGON INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-10,CONCURRENT SESSION CONTROL,P3,HIGH
ACTIVE,ACCESS CONTROL,AC-11,SESSION LOCK,P3,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-11a.,SESSION LOCK,NA,NA
ACTIVE,ACCESS CONTROL,AC-11b.,SESSION LOCK,NA,NA
ACTIVE,ACCESS CONTROL,AC-11 (1),PATTERN-HIDING DISPLAYS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-12,SESSION TERMINATION,P2,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-12 (1),USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,NA,NA
ACTIVE,ACCESS CONTROL,AC-12 (1)(a),USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,NA,NA
ACTIVE,ACCESS CONTROL,AC-12 (1)(b),USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,NA,NA
[Withdrawn: Incorporated into AC-2 and AU-6].,ACCESS CONTROL,AC-13,SUPERVISION AND REVIEW - ACCESS CONTROL,NA,NA
ACTIVE,ACCESS CONTROL,AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,P3,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-14a.,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-14b.,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,NA,NA
[Withdrawn: Incorporated into AC-14].,ACCESS CONTROL,AC-14 (1),NECESSARY USES,NA,NA
[Withdrawn: Incorporated into MP-3].,ACCESS CONTROL,AC-15,AUTOMATED MARKING,NA,NA
ACTIVE,ACCESS CONTROL,AC-16,SECURITY ATTRIBUTES,P0,NA
ACTIVE,ACCESS CONTROL,AC-16a.,SECURITY ATTRIBUTES,NA,NA
ACTIVE,ACCESS CONTROL,AC-16b.,SECURITY ATTRIBUTES,NA,NA
ACTIVE,ACCESS CONTROL,AC-16c.,SECURITY ATTRIBUTES,NA,NA
ACTIVE,ACCESS CONTROL,AC-16d.,SECURITY ATTRIBUTES,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (1),DYNAMIC ATTRIBUTE ASSOCIATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (2),ATTRIBUTE VALUE CHANGES BY AUTHORIZED INDIVIDUALS,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (3),MAINTENANCE OF ATTRIBUTE ASSOCIATIONS BY INFORMATION SYSTEM,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (4),ASSOCIATION OF ATTRIBUTES BY AUTHORIZED INDIVIDUALS,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (5),ATTRIBUTE DISPLAYS FOR OUTPUT DEVICES,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (6),MAINTENANCE OF ATTRIBUTE ASSOCIATION BY ORGANIZATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (7),CONSISTENT ATTRIBUTE INTERPRETATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (8),ASSOCIATION TECHNIQUES / TECHNOLOGIES,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (9),ATTRIBUTE REASSIGNMENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-16 (10),ATTRIBUTE CONFIGURATION BY AUTHORIZED INDIVIDUALS,NA,NA
ACTIVE,ACCESS CONTROL,AC-17,REMOTE ACCESS,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-17a.,REMOTE ACCESS,NA,NA
ACTIVE,ACCESS CONTROL,AC-17b.,REMOTE ACCESS,NA,NA
ACTIVE,ACCESS CONTROL,AC-17 (1),AUTOMATED MONITORING / CONTROL,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-17 (2),PROTECTION OF CONFIDENTIALITY / INTEGRITY USING ENCRYPTION,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-17 (3),MANAGED ACCESS CONTROL POINTS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-17 (4),PRIVILEGED COMMANDS / ACCESS,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-17 (4)(a),PRIVILEGED COMMANDS / ACCESS,NA,NA
ACTIVE,ACCESS CONTROL,AC-17 (4)(b),PRIVILEGED COMMANDS / ACCESS,NA,NA
[Withdrawn: Incorporated into SI-4].,ACCESS CONTROL,AC-17 (5),MONITORING FOR UNAUTHORIZED CONNECTIONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-17 (6),PROTECTION OF INFORMATION,NA,NA
[Withdrawn: Incorporated into AC-3 (10)].,ACCESS CONTROL,AC-17 (7),ADDITIONAL PROTECTION FOR SECURITY FUNCTION ACCESS,NA,NA
[Withdrawn: Incorporated into CM-7].,ACCESS CONTROL,AC-17 (8),DISABLE NONSECURE NETWORK PROTOCOLS,NA,NA
ACTIVE,ACCESS CONTROL,AC-17 (9),DISCONNECT / DISABLE ACCESS,NA,NA
ACTIVE,ACCESS CONTROL,AC-18,WIRELESS ACCESS,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-18a.,WIRELESS ACCESS,NA,NA
ACTIVE,ACCESS CONTROL,AC-18b.,WIRELESS ACCESS,NA,NA
ACTIVE,ACCESS CONTROL,AC-18 (1),AUTHENTICATION AND ENCRYPTION,NA,"MODERATE,HIGH"
[Withdrawn: Incorporated into SI-4].,ACCESS CONTROL,AC-18 (2),MONITORING UNAUTHORIZED CONNECTIONS,NA,NA
ACTIVE,ACCESS CONTROL,AC-18 (3),DISABLE WIRELESS NETWORKING,NA,NA
ACTIVE,ACCESS CONTROL,AC-18 (4),RESTRICT CONFIGURATIONS BY USERS,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-18 (5),ANTENNAS / TRANSMISSION POWER LEVELS,NA,HIGH
ACTIVE,ACCESS CONTROL,AC-19,ACCESS CONTROL FOR MOBILE DEVICES,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-19a.,ACCESS CONTROL FOR MOBILE DEVICES,NA,NA
ACTIVE,ACCESS CONTROL,AC-19b.,ACCESS CONTROL FOR MOBILE DEVICES,NA,NA
[Withdrawn: Incorporated into MP-7].,ACCESS CONTROL,AC-19 (1),USE OF  WRITABLE / PORTABLE STORAGE DEVICES,NA,NA
[Withdrawn: Incorporated into MP-7].,ACCESS CONTROL,AC-19 (2),USE OF PERSONALLY OWNED PORTABLE STORAGE DEVICES,NA,NA
[Withdrawn: Incorporated into MP-7].,ACCESS CONTROL,AC-19 (3),USE OF PORTABLE STORAGE DEVICES WITH NO IDENTIFIABLE OWNER,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(a),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(b),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(b)(1),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(b)(2),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(b)(3),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(b)(4),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (4)(c),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-19 (5),FULL DEVICE / CONTAINER-BASED  ENCRYPTION,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-20,USE OF EXTERNAL INFORMATION SYSTEMS,P1,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-20a.,USE OF EXTERNAL INFORMATION SYSTEMS,NA,NA
ACTIVE,ACCESS CONTROL,AC-20b.,USE OF EXTERNAL INFORMATION SYSTEMS,NA,NA
ACTIVE,ACCESS CONTROL,AC-20 (1),LIMITS ON AUTHORIZED USE,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-20 (1)(a),LIMITS ON AUTHORIZED USE,NA,NA
ACTIVE,ACCESS CONTROL,AC-20 (1)(b),LIMITS ON AUTHORIZED USE,NA,NA
ACTIVE,ACCESS CONTROL,AC-20 (2),PORTABLE STORAGE DEVICES,NA,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-20 (3),NON-ORGANIZATIONALLY OWNED SYSTEMS / COMPONENTS / DEVICES,NA,NA
ACTIVE,ACCESS CONTROL,AC-20 (4),NETWORK ACCESSIBLE STORAGE DEVICES,NA,NA
ACTIVE,ACCESS CONTROL,AC-21,INFORMATION SHARING,P2,"MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-21a.,INFORMATION SHARING,NA,NA
ACTIVE,ACCESS CONTROL,AC-21b.,INFORMATION SHARING,NA,NA
ACTIVE,ACCESS CONTROL,AC-21 (1),AUTOMATED DECISION SUPPORT,NA,NA
ACTIVE,ACCESS CONTROL,AC-21 (2),INFORMATION SEARCH AND RETRIEVAL,NA,NA
ACTIVE,ACCESS CONTROL,AC-22,PUBLICLY ACCESSIBLE CONTENT,P3,"LOW,MODERATE,HIGH"
ACTIVE,ACCESS CONTROL,AC-22a.,PUBLICLY ACCESSIBLE CONTENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-22b.,PUBLICLY ACCESSIBLE CONTENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-22c.,PUBLICLY ACCESSIBLE CONTENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-22d.,PUBLICLY ACCESSIBLE CONTENT,NA,NA
ACTIVE,ACCESS CONTROL,AC-23,DATA MINING PROTECTION,P0,NA
ACTIVE,ACCESS CONTROL,AC-24,ACCESS CONTROL DECISIONS,P0,NA
ACTIVE,ACCESS CONTROL,AC-24 (1),TRANSMIT ACCESS AUTHORIZATION INFORMATION,NA,NA
ACTIVE,ACCESS CONTROL,AC-24 (2),NO USER OR PROCESS IDENTITY,NA,NA
ACTIVE,ACCESS CONTROL,AC-25,REFERENCE MONITOR,P0,NA
ACTIVE,AWARENESS AND TRAINING,AT-1,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
ACTIVE,AWARENESS AND TRAINING,AT-1a.,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-1a.1.,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-1a.2.,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-1b.,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-1b.1.,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-1b.2.,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-2,SECURITY AWARENESS TRAINING,P1,"LOW,MODERATE,HIGH"
ACTIVE,AWARENESS AND TRAINING,AT-2a.,SECURITY AWARENESS TRAINING,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-2b.,SECURITY AWARENESS TRAINING,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-2c.,SECURITY AWARENESS TRAINING,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-2 (1),PRACTICAL EXERCISES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-2 (2),INSIDER THREAT,NA,"MODERATE,HIGH"
ACTIVE,AWARENESS AND TRAINING,AT-3,ROLE-BASED SECURITY TRAINING,P1,"LOW,MODERATE,HIGH"
ACTIVE,AWARENESS AND TRAINING,AT-3a.,ROLE-BASED SECURITY TRAINING,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-3b.,ROLE-BASED SECURITY TRAINING,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-3c.,ROLE-BASED SECURITY TRAINING,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-3 (1),ENVIRONMENTAL CONTROLS,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-3 (2),PHYSICAL SECURITY CONTROLS,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-3 (3),PRACTICAL EXERCISES,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-3 (4),SUSPICIOUS COMMUNICATIONS AND ANOMALOUS SYSTEM BEHAVIOR,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-4,SECURITY TRAINING RECORDS,P3,"LOW,MODERATE,HIGH"
ACTIVE,AWARENESS AND TRAINING,AT-4a.,SECURITY TRAINING RECORDS,NA,NA
ACTIVE,AWARENESS AND TRAINING,AT-4b.,SECURITY TRAINING RECORDS,NA,NA
[Withdrawn: Incorporated into PM-15].,AWARENESS AND TRAINING,AT-5,CONTACTS WITH SECURITY GROUPS AND ASSOCIATIONS,NA,NA
