IMPLEMENTED BY,RMF CONTROL FAMILY,RMF CONTROL NUMBER,RMF CONTROL NAME - CONTROL ENHANCEMENT NAME,BASELINE IMPACT,CSF FUNCTION,CSF CATEGORY,CSF SUBCATEGORY,PRIVACY,HVA,FSA,FPKI
O,ACCESS CONTROL,AC-18,WIRELESS ACCESS,l/M/H,PROTECT,PR.PT,PR.PT-4,NO,NO,YES,YES
O,ACCESS CONTROL,AC-18(4),RESTRICT CONFIGURATIONS BY USERS,H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-18(5),ANTENNAS AND TRANSMISSION POWER LEVELS,H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-19,ACCESS CONTROL FOR MOBILE DEVICES,L/M/H,PROTECT,PR.AC,PR.AC-3,NO,NO,YES,YES
O,ACCESS CONTROL,AC-19(4),RESTRICTIONS FOR CLASSIFIED INFORMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-19(5),FULL DEVICE OR CONTAINER-BASED ENCRYPTION,H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-2,ACCOUNT MANAGEMENT,L/M/H,DETECT,DE.CM,DE.CM-3,NO,YES,YES,YES
O,ACCESS CONTROL,AC-2,ACCOUNT MANAGEMENT,L/M/H,PROTECT,PR.AC,PR.AC-4,NO,YES,YES,NO
O,ACCESS CONTROL,AC-2(1),AUTOMATED SYSTEM ACCOUNT MANAGEMENT,M/H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-2(13),DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,M/H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-2(7),PRIVILEGED USER ACCOUNTS,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-2(9),RESTRICTIONS ON USE OF SHARED AND GROUP ACCOUNTS,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-20,USE OF EXTERNAL SYSTEMS,L/M/H,IDENTIFY,ID.AM,ID.AM-4,NO,YES,YES,YES
O,ACCESS CONTROL,AC-20,USE OF EXTERNAL SYSTEMS,L/M/H,PROTECT,PR.AC,PR.AC-3,NO,YES,YES,YES
O,ACCESS CONTROL,AC-20(1),LIMITS ON AUTHORIZED USE,M/H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-20(2),PORTABLE STORAGE DEVICES — RESTRICTED USE,M/H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-20(3),NON-ORGANIZATIONALLY OWNED SYSTEMS — RESTRICTED USE,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-20(4),NETWORK ACCESSIBLE STORAGE DEVICES — PROHIBITED USE,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-20(5),PORTABLE STORAGE DEVICES — PROHIBITED USE,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-21,INFORMATION SHARING,M/H,PROTECT,PR.IP,PR.IP-8,NO,NO,YES,YES
O,ACCESS CONTROL,AC-22,PUBLICLY ACCESSIBLE CONTENT,L/M/H,NA,NA,NA,NO,NO,NO,YES
O,ACCESS CONTROL,AC-23,DATA MINING PROTECTION,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-24,ACCESS CONTROL DECISIONS,NA,PROTECT,PR.AC,PR.AC-4,NO,NO,YES,NO
O,ACCESS CONTROL,AC-3(10),AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-4(20),APPROVED SOLUTIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-5,SEPARATION OF DUTIES,M/H,PROTECT,PR.AC,PR.AC-4,NO,YES,YES,YES
O,ACCESS CONTROL,AC-5,SEPARATION OF DUTIES,M/H,PROTECT,PR.DS,PR.DS-5,NO,YES,YES,YES
O,ACCESS CONTROL,AC-6,LEAST PRIVILEGE,M/H,PROTECT,PR.AC,PR.AC-4,NO,YES,YES,YES
O,ACCESS CONTROL,AC-6,LEAST PRIVILEGE,M/H,PROTECT,PR.DS,PR.DS-5,NO,YES,YES,YES
O,ACCESS CONTROL,AC-6(1),AUTHORIZE ACCESS TO SECURITY FUNCTIONS,M/H,NA,NA,NA,NO,NO,NO,YES
O,ACCESS CONTROL,AC-6(2),NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,M/H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-6(3),NETWORK ACCESS TO PRIVILEGED COMMANDS,H,NA,NA,NA,NO,NO,NO,NO
O,ACCESS CONTROL,AC-6(5),PRIVILEGED ACCOUNTS,M/H,NA,NA,NA,NO,YES,NO,YES
O,ACCESS CONTROL,AC-6(6),PRIVILEGED ACCESS BY NON-ORGANIZATIONAL USERS,NA,NA,NA,NA,NO,NO,NO,YES
O,ACCESS CONTROL,AC-6(7),REVIEW OF USER PRIVILEGES,M/H,NA,NA,NA,NO,YES,NO,YES
O,ACCESS CONTROL,AC-7(3),BIOMETRIC ATTEMPT LIMITING,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-1,POLICY AND PROCEDURES,L/M/H,RESPOND,RS.AN,RS.AN-5,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,DETECT,DE.DP,DE.DP-1,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,DETECT,DE.DP,DE.DP-3,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,DETECT,DE.DP,DE.DP-4,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,DETECT,DE.DP,DE.DP-5,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,IDENTIFY,ID.RA,ID.RA-1,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,IDENTIFY,ID.RA,ID.RA-5,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,IDENTIFY,ID.SC,ID.SC-4,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,PROTECT,PR.IP,PR.IP-7,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,RESPOND,RS.AN,RS.AN-5,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2,CONTROL ASSESSMENTS,L/M/H,RESPOND,RS.MI,RS.MI-3,YES,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2(1),INDEPENDENT ASSESSORS,M/H,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2(2),SPECIALIZED ASSESSMENTS,H,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-2(3),LEVERAGING RESULTS FROM EXTERNAL ORGANIZATIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-3,INFORMATION EXCHANGE,L,DETECT,DE.AE,DE.AE-1,NO,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-3,INFORMATION EXCHANGE,L,IDENTIFY,ID.AM,ID.AM-3,NO,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-5,PLAN OF ACTION AND MILESTONES,L/M/H,IDENTIFY,ID.RA,ID.RA-1,YES,YES,NO,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-5,PLAN OF ACTION AND MILESTONES,L/M/H,IDENTIFY,ID.RA,ID.RA-6,YES,YES,NO,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-5(1),AUTOMATION SUPPORT FOR ACCURACY AND CURRENCY,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-6,AUTHORIZATION,L/M/H,NA,NA,NA,YES,YES,NO,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-6(1),JOINT AUTHORIZATION — INTRA-ORGANIZATION,NA,NA,NA,NA,NO,YES,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-6(2),JOINT AUTHORIZATION — INTER-ORGANIZATION,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.AE,DE.AE-2,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.AE,DE.AE-3,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.CM,DE.CM-1,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.CM,DE.CM-2,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.CM,DE.CM-3,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.CM,DE.CM-6,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.CM,DE.CM-7,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.DP,DE.DP-1,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.DP,DE.DP-2,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.DP,DE.DP-3,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.DP,DE.DP-4,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,DETECT,DE.DP,DE.DP-5,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,IDENTIFY,ID.RA,ID.RA-1,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,IDENTIFY,ID.RA,ID.RA-5,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,IDENTIFY,ID.SC,ID.SC-4,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,PROTECT,PR.IP,PR.IP-7,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,PROTECT,PR.IP,PR.IP-8,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,RESPOND,RS.AN,RS.AN-1,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7,CONTINUOUS MONITORING,L/M/H,RESPOND,RS.MI,RS.MI-3,YES,YES,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7(1),INDEPENDENT ASSESSMENT,M/H,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7(3),TREND ANALYSES,NA,NA,NA,NA,NO,YES,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-7(5),CONSISTENCY ANALYSIS,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-8,PENETRATION TESTING,H,IDENTIFY,ID.RA,ID.RA-1,NO,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-8,PENETRATION TESTING,H,PROTECT,PR.IP,PR.IP-7,NO,NO,YES,YES
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-8(1),INDEPENDENT PENETRATION TESTING AGENT OR TEAM,H,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-8(2),RED TEAM EXERCISES,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-8(3),FACILITY PENETRATION TESTING,NA,NA,NA,NA,NO,NO,NO,NO
O,"ASSESSMENT, AUTHORIZATION, AND MONITORING",CA-9,INTERNAL SYSTEM CONNECTIONS,L/M/H,IDENTIFY,ID.AM,ID.AM-3,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-1,POLICY AND PROCEDURES,L/M/H,NA,NA,NA,YES,NO,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.PT,PR.PT-1,YES,NO,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-11,AUDIT RECORD RETENTION,L/M/H,NA,NA,NA,YES,NO,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-11(1),LONG-TERM RETRIEVAL CAPABILITY,NA,NA,NA,NA,NO,NO,NO,YES
O,AUDIT AND ACCOUNTABILITY,AU-13,MONITORING FOR INFORMATION DISCLOSURE,NA,DETECT,DE.CM,DE.CM-3,NO,NO,YES,NO
O,AUDIT AND ACCOUNTABILITY,AU-13,MONITORING FOR INFORMATION DISCLOSURE,NA,PROTECT,PR.DS,PR.DS-5,NO,NO,YES,NO
O,AUDIT AND ACCOUNTABILITY,AU-13,MONITORING FOR INFORMATION DISCLOSURE,NA,PROTECT,PR.PT,PR.PT-1,NO,NO,YES,NO
O,AUDIT AND ACCOUNTABILITY,AU-13(2),REVIEW OF MONITORED SITES,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-16,CROSS-ORGANIZATIONAL AUDIT LOGGING,NA,PROTECT,PR.PT,PR.PT-1,NO,YES,YES,NO
O,AUDIT AND ACCOUNTABILITY,AU-16(1),IDENTITY PRESERVATION,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-16(2),SHARING OF AUDIT INFORMATION,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-16(3),DISASSOCIABILITY,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-2,EVENT LOGGING,L/M/H,PROTECT,PR.PT,PR.PT-1,YES,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-3(3),LIMIT PERSONALLY IDENTIFIABLE INFORMATION ELEMENTS,NA,NA,NA,NA,YES,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-5(5),ALTERNATE AUDIT LOGGING CAPABILITY,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,DETECT,DE.AE,DE.AE-2,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,DETECT,DE.AE,DE.AE-3,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,DETECT,DE.DP,DE.DP-4,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,IDENTIFY,ID.SC,ID.SC-4,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,NA,NA,NA,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,PROTECT,PR.PT,PR.PT-1,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,RESPOND,RS.AN,RS.AN-1,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6,"AUDIT RECORD REVIEW, ANALYSIS, AND REPORTING",L/M/H,RESPOND,RS.CO,RS.CO-2,NO,YES,YES,YES
O,AUDIT AND ACCOUNTABILITY,AU-6(1),AUTOMATED PROCESS INTEGRATION,L/M/H,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6(3),CORRELATE AUDIT RECORD REPOSITORIES,L/M/H,NA,NA,NA,NO,YES,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6(5),INTEGRATED ANALYSIS OF AUDIT RECORDS,L/M/H,NA,NA,NA,NO,YES,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6(6),CORRELATION WITH PHYSICAL MONITORING,L/M/H,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6(7),PERMITTED ACTIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6(8),FULL TEXT ANALYSIS OF PRIVILEGED COMMANDS,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-6(9),CORRELATION WITH INFORMATION FROM NONTECHNICAL SOURCES,NA,NA,NA,NA,NO,NO,NO,NO
O,AUDIT AND ACCOUNTABILITY,AU-9(4),ACCESS BY SUBSET OF PRIVILEGED USERS,M/H,NA,NA,NA,NO,NO,NO,YES
O,AUDIT AND ACCOUNTABILITY,AU-9(7),STORE ON COMPONENT WITH DIFFERENT OPERATING SYSTEM,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-2,LITERACY TRAINING AND AWARENESS,L/M/H,PROTECT,PR.AT,PR.AT-1,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-2(1),PRACTICAL EXERCISES,NA,NA,NA,NA,NO,YES,NO,NO
O,AWARENESS AND TRAINING,AT-2(2),INSIDER THREAT,M/H,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-2(3),SOCIAL ENGINEERING AND MINING,M/H,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-2(4),SUSPICIOUS COMMUNICATIONS AND ANOMALOUS SYSTEM BEHAVIOR,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-2(5),ADVANCED PERSISTENT THREAT,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-2(6),CYBER THREAT ENVIRONMENT,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-3,ROLE-BASED TRAINING,L/M/H,PROTECT,PR.AT,PR.AT-2,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-3,ROLE-BASED TRAINING,L/M/H,PROTECT,PR.AT,PR.AT-3,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-3,ROLE-BASED TRAINING,L/M/H,PROTECT,PR.AT,PR.AT-4,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-3,ROLE-BASED TRAINING,L/M/H,PROTECT,PR.AT,PR.AT-5,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-3(1),ENVIRONMENTAL CONTROLS,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-3(2),PHYSICAL SECURITY CONTROLS,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-3(3),PRACTICAL EXERCISES,NA,NA,NA,NA,NO,NO,NO,NO
O,AWARENESS AND TRAINING,AT-3(5),PROCESSING PERSONALLY IDENTIFIABLE INFORMATION,NA,NA,NA,NA,YES,NO,NO,NO
O,AWARENESS AND TRAINING,AT-4,TRAINING RECORDS,L/M/H,NA,NA,NA,YES,NO,YES,YES
O,AWARENESS AND TRAINING,AT-6,TRAINING FEEDBACK,NA,NA,NA,NA,NO,NO,NO,YES
O,CONFIGURATION MANAGEMENT,CM-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.IP,PR.IP-1,YES,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-10,SOFTWARE USAGE RESTRICTIONS,L/M/H,DETECT,DE.CM,DE.CM-3,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-10(1),OPEN-SOURCE SOFTWARE,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-11,USER-INSTALLED SOFTWARE,L/M/H,DETECT,DE.CM,DE.CM-3,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-12,INFORMATION LOCATION,M/H,NA,NA,NA,NO,NO,NO,YES
O,CONFIGURATION MANAGEMENT,CM-12(1),AUTOMATED TOOLS TO SUPPORT INFORMATION LOCATION,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-13,DATA ACTION MAPPING,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-2,BASELINE CONFIGURATION,L/M/H,DETECT,DE.AE,DE.AE-1,NO,YES,YES,YES
O,CONFIGURATION MANAGEMENT,CM-2,BASELINE CONFIGURATION,L/M/H,PROTECT,PR.DS,PR.DS-7,NO,YES,YES,YES
